"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"23302",2,1,0,2,4,0,1
"23303",0,0,0,3,1,0,1
"23304",0,1,0,2,2,0,1
"23305",0,1,2,2,2,0,0
"23306",0,1,2,2,2,0,0
"23307",1,2,1,2,4,0,0
"23308",1,1,1,1,3,0,1
"23309",0,0,0,2,1,0,0
"23310",3,2,0,2,8,0,1
"23311",1,1,1,2,3,0,1
"23312",0,0,0,2,1,0,1
"23313",0,1,2,3,2,0,1
"23314",1,0,2,2,2,0,1
"23315",0,1,0,2,2,0,0
"23316",0,0,2,2,1,0,0
"23317",0,2,2,2,3,0,0
"23318",0,1,1,1,2,0,0
"23319",0,0,0,2,1,0,0
"23320",0,0,2,2,1,0,0
"23321",3,2,0,2,7,0,0
"23322",0,2,1,2,3,0,0
"23323",0,0,2,2,1,0,1
"23324",0,0,2,2,1,0,1
"23325",1,1,0,2,3,0,0
"23326",0,0,2,3,1,0,0
"23327",1,0,1,2,2,0,0
"23328",1,1,2,2,3,0,0
"23329",0,0,0,2,1,0,1
"23330",3,1,2,1,5,0,0
"23331",1,2,1,2,5,0,0
"23332",0,1,2,2,2,0,1
"23333",0,0,1,1,1,0,0
"23334",0,1,1,2,2,0,1
"23335",2,2,2,1,5,0,0
"23336",1,2,1,2,4,0,1
"23337",1,0,0,2,2,0,0
"23338",3,2,0,2,6,0,1
"23339",1,0,2,2,2,0,1
"23340",2,2,1,3,6,0,0
"23341",2,1,2,1,4,0,0
"23342",0,0,1,2,1,0,1
"23343",0,0,2,2,1,0,1
"23344",0,0,1,2,1,0,0
"23345",2,2,1,2,5,0,1
"23346",3,1,0,2,5,0,1
"23347",2,1,1,2,4,0,1
"23348",3,1,1,1,5,0,1
"23349",0,0,1,2,1,0,0
"23350",1,2,1,2,4,0,0
"23351",0,0,2,2,1,0,1
"23352",0,2,1,2,3,0,0
"23353",1,2,1,3,5,0,0
"23354",1,2,1,2,4,0,1
"23355",1,2,0,2,5,0,1
"23356",2,0,2,1,3,0,1
"23357",2,1,2,1,4,0,0
"23358",0,0,0,2,1,0,1
"23359",1,0,1,2,2,0,1
"23360",0,0,2,2,1,0,1
"23361",3,0,1,1,4,0,1
"23362",1,2,2,2,5,0,1
"23363",1,1,1,2,3,0,1
"23364",2,0,2,1,3,0,1
"23365",0,1,0,2,2,0,0
"23366",0,1,1,2,2,0,1
"23367",0,2,0,2,4,0,0
"23368",1,2,1,3,4,0,1
"23369",3,0,0,2,4,0,1
"23370",0,0,1,2,1,0,1
"23371",0,2,1,2,4,0,1
"23372",2,0,1,2,3,0,1
"23373",1,0,2,1,2,0,0
"23374",3,1,2,2,5,0,1
"23375",0,2,1,2,3,0,0
"23376",2,0,0,2,3,0,0
"23377",0,2,1,2,3,0,0
"23378",1,0,1,2,2,0,0
"23379",1,2,2,2,4,0,1
"23380",2,1,2,2,4,0,0
"23381",0,2,1,2,3,0,1
"23382",0,0,0,2,1,0,0
"23383",1,1,1,3,3,0,0
"23384",0,1,1,2,2,0,0
"23385",0,0,2,1,1,0,0
"23386",2,0,1,1,3,0,1
"23387",0,0,1,2,1,0,1
"23388",0,1,1,2,2,0,0
"23389",1,0,2,1,2,0,0
"23390",0,2,0,2,3,0,1
"23391",1,1,2,2,3,0,0
"23392",2,2,0,2,5,0,0
"23393",0,1,1,2,2,0,0
"23394",0,0,2,1,1,0,0
"23395",1,0,0,2,2,0,1
"23396",0,0,1,2,1,0,1
"23397",0,0,1,2,1,0,1
"23398",0,2,2,2,3,0,1
"23399",1,0,1,3,2,0,0
"23400",0,1,1,2,2,0,1
"23401",1,0,1,1,2,0,1
"23402",2,2,1,1,5,0,0
"23403",0,0,1,2,1,0,1
"23404",0,1,0,2,2,0,0
"23405",0,2,2,2,3,0,1
"23406",0,0,1,3,1,0,0
"23407",0,1,2,2,2,0,1
"23408",0,0,1,2,1,0,0
"23409",0,1,2,2,2,0,1
"23410",3,2,2,1,6,0,0
"23411",1,2,1,1,4,0,0
"23412",0,0,1,1,1,0,1
"23413",0,1,2,2,2,0,0
"23414",2,1,0,2,4,0,1
"23415",0,0,0,2,1,0,1
"23416",1,2,0,2,4,0,0
"23417",0,0,1,2,1,0,0
"23418",2,1,0,2,4,0,1
"23419",3,2,1,2,8,0,0
"23420",0,0,0,2,1,0,1
"23421",0,0,2,2,1,0,1
"23422",1,1,1,1,3,0,1
"23423",3,2,0,2,7,0,0
"23424",3,2,0,3,6,0,0
"23425",0,2,0,2,3,0,1
"23426",1,1,0,2,3,0,0
"23427",3,2,1,2,7,0,1
"23428",0,2,1,1,3,0,1
"23429",2,1,1,2,4,0,0
"23430",1,1,0,2,3,0,0
"23431",1,1,0,2,3,0,0
"23432",0,0,2,2,1,0,1
"23433",3,1,2,1,5,0,0
"23434",0,0,2,2,1,0,1
"23435",2,1,0,2,4,0,0
"23436",0,1,1,2,2,0,1
"23437",3,2,1,2,6,0,1
"23438",2,2,1,2,5,0,0
"23439",0,1,0,2,2,0,1
"23440",2,1,2,1,4,0,0
"23441",1,1,0,2,3,0,1
"23442",0,1,1,1,2,0,0
"23443",1,1,1,2,3,0,0
"23444",0,1,0,2,2,0,1
"23445",2,1,1,2,4,0,0
"23446",3,1,0,3,5,0,0
"23447",1,0,0,2,2,0,1
"23448",3,2,0,2,6,0,1
"23449",0,1,0,2,2,0,1
"23450",1,0,1,1,2,0,0
"23451",1,0,1,2,2,0,0
"23452",2,2,0,2,5,0,1
"23453",0,0,1,2,1,0,0
"23454",0,0,0,2,1,0,1
"23455",1,0,0,2,2,0,1
"23456",2,1,0,3,4,0,0
"23457",2,1,1,2,4,0,1
"23458",0,0,1,1,1,0,1
"23459",2,0,2,1,3,0,0
"23460",3,1,1,2,5,0,1
"23461",0,0,0,2,1,0,1
"23462",0,0,1,1,1,0,1
"23463",0,0,0,2,1,0,1
"23464",0,0,0,2,1,0,1
"23465",1,1,1,2,3,0,1
"23466",3,0,1,2,4,0,1
"23467",2,1,0,2,4,0,1
"23468",1,1,0,3,3,0,0
"23469",2,1,2,2,4,0,1
"23470",0,0,1,2,1,0,1
"23471",1,2,2,1,4,0,0
"23472",2,2,0,1,5,0,1
"23473",1,0,2,1,2,0,0
"23474",0,0,0,2,1,0,0
"23475",0,2,2,1,4,0,1
"23476",2,1,0,2,4,0,1
"23477",3,2,0,2,8,0,1
"23478",1,1,1,2,3,0,0
"23479",0,0,1,1,1,0,1
"23480",0,1,1,2,2,0,1
"23481",1,2,0,1,4,0,1
"23482",3,2,0,2,6,0,0
"23483",1,1,0,2,3,0,1
"23484",1,0,0,3,2,0,1
"23485",0,2,2,1,3,0,0
"23486",0,2,0,2,4,0,0
"23487",3,2,0,2,7,0,0
"23488",1,0,1,2,2,0,1
"23489",0,0,1,2,1,0,1
"23490",2,0,1,2,3,0,1
"23491",0,2,0,1,3,0,0
"23492",1,1,2,2,3,0,0
"23493",1,1,0,2,3,0,0
"23494",0,2,2,1,3,0,0
"23495",0,0,2,1,1,0,0
"23496",1,1,1,1,3,0,0
"23497",0,1,2,1,2,0,1
"23498",1,0,1,2,2,0,1
"23499",1,0,0,2,2,0,0
"23500",0,1,0,1,2,0,1
"23501",2,2,0,2,6,0,0
"23502",0,0,0,3,1,0,0
"23503",0,0,1,2,1,0,1
"23504",3,1,0,2,5,0,1
"23505",1,1,0,1,3,0,0
"23506",0,2,0,2,3,0,0
"23507",1,0,2,2,2,0,1
"23508",1,0,0,2,2,0,1
"23509",0,1,2,1,2,0,1
"23510",2,2,0,2,5,0,0
"23511",0,1,0,2,2,0,0
"23512",2,1,0,2,4,0,1
"23513",0,0,0,2,1,0,1
"23514",0,0,2,1,1,0,0
"23515",2,2,0,2,5,0,1
"23516",0,0,0,1,1,0,0
"23517",0,0,1,2,1,0,1
"23518",0,0,0,2,1,0,1
"23519",2,1,2,2,4,0,1
"23520",2,1,0,2,4,0,0
"23521",0,2,0,2,3,0,1
"23522",0,1,1,1,2,0,0
"23523",0,0,2,1,1,0,1
"23524",0,0,2,2,1,0,1
"23525",0,1,0,1,2,0,1
"23526",1,1,0,2,3,0,0
"23527",0,0,0,1,1,0,1
"23528",2,0,0,2,3,0,0
"23529",1,2,0,2,4,0,0
"23530",1,1,0,1,3,0,1
"23531",0,1,0,2,2,0,1
"23532",3,2,1,1,6,0,0
"23533",1,1,2,2,3,0,0
"23534",1,0,1,1,2,0,0
"23535",1,0,1,2,2,0,1
"23536",0,1,0,2,2,0,0
"23537",0,0,0,2,1,0,0
"23538",3,2,0,2,6,0,1
"23539",1,1,0,2,3,0,1
"23540",0,0,1,1,1,0,0
"23541",1,0,0,1,2,0,0
"23542",3,1,0,1,5,0,1
"23543",0,1,0,2,2,0,1
"23544",3,1,1,1,5,0,0
"23545",0,0,1,1,1,0,1
"23546",0,0,0,2,1,0,0
"23547",3,1,0,2,5,0,1
"23548",1,0,0,2,2,0,1
"23549",0,2,0,2,3,0,1
"23550",0,0,0,2,1,0,1
"23551",3,2,0,1,6,0,0
"23552",1,0,2,2,2,0,0
"23553",0,1,0,2,2,0,1
"23554",0,1,0,2,2,0,1
"23555",0,0,1,2,1,0,1
"23556",0,0,0,2,1,0,1
"23557",0,0,0,2,1,0,0
"23558",0,0,0,2,1,0,1
"23559",0,0,0,2,1,0,1
"23560",0,0,0,1,1,0,1
"23561",0,0,2,2,1,0,1
"23562",2,1,1,1,4,0,1
"23563",1,0,1,1,2,0,1
"23564",1,0,2,1,2,0,1
"23565",3,1,0,1,5,0,0
"23566",0,1,0,2,2,0,0
"23567",2,1,0,2,4,0,1
"23568",1,2,1,1,4,0,0
"23569",2,1,0,1,4,0,1
"23570",0,0,0,2,1,0,1
"23571",2,1,0,1,4,0,1
"23572",2,0,1,2,3,0,1
"23573",0,0,1,1,1,0,1
"23574",3,0,0,1,4,0,1
"23575",1,1,1,1,3,0,0
"23576",0,0,0,2,1,0,1
"23577",0,1,2,1,2,0,0
"23578",2,0,2,1,3,0,1
"23579",1,1,0,2,3,0,1
"23580",1,2,2,1,4,0,1
"23581",1,1,0,1,3,0,0
"23582",0,0,2,1,1,0,1
"23583",2,0,2,1,3,0,1
"23584",1,1,1,1,3,0,1
"23585",0,1,2,2,2,0,0
"23586",0,0,2,1,1,0,1
"23587",1,0,1,1,2,0,0
"23588",3,1,2,1,5,0,1
"23589",1,0,1,1,2,0,1
"23590",1,0,0,1,2,0,1
"23591",1,0,0,2,2,0,1
"23592",1,0,1,1,2,0,0
"23593",1,0,1,2,2,0,1
"23594",0,2,2,1,3,0,0
"23595",1,0,2,1,2,0,0
"23596",1,0,2,1,2,0,1
"23597",2,0,0,1,3,0,0
"23598",1,1,0,1,3,0,0
"23599",0,0,2,2,1,0,0
"23600",2,2,1,1,6,0,0
"23601",2,2,2,1,5,0,1
"23602",2,1,2,1,4,0,1
"23603",0,0,1,1,1,0,1
"23604",0,0,2,1,1,0,1
"23605",0,0,1,1,1,0,1
"23606",1,0,1,2,2,0,1
"23607",1,2,1,1,5,0,0
"23608",0,1,2,1,2,0,0
"23609",0,0,1,1,1,0,0
"23610",0,0,2,1,1,0,0
"23611",0,0,0,1,1,0,1
"23612",0,0,0,2,1,0,1
"23613",1,0,0,1,2,0,0
"23614",0,0,1,2,1,0,1
"23615",0,1,0,1,2,0,1
"23616",1,2,0,1,7,0,0
"23617",0,0,0,1,1,0,0
"23618",0,0,0,1,1,0,1
"23619",1,1,2,1,3,0,0
"23620",2,1,2,1,4,0,1
"23621",0,0,2,1,1,0,1
"23622",0,0,1,2,1,0,1
"23623",2,0,2,1,3,0,1
"23624",1,2,1,1,4,0,1
"23625",1,2,2,1,4,0,1
"23626",3,2,2,1,7,0,0
"23627",1,2,0,1,6,0,1
"23628",1,2,0,2,4,0,1
"23629",3,1,0,2,5,0,1
"23630",0,1,1,1,2,0,1
"23631",1,2,2,1,4,0,1
"23632",0,2,1,1,3,0,1
"23633",1,0,2,1,2,0,1
"23634",2,2,2,1,6,0,0
"23635",0,1,2,1,2,0,1
"23636",1,0,2,1,2,0,1
"23637",3,2,0,1,6,0,0
"23638",0,2,0,2,3,0,0
"23639",1,2,0,1,6,0,1
"23640",1,2,0,1,5,0,0
"23641",1,1,2,1,3,0,1
"23642",0,2,2,1,3,0,1
"23643",2,1,0,2,4,0,1
"23644",0,0,0,1,1,0,1
"23645",0,1,0,2,2,0,0
"23646",0,0,0,2,1,0,1
"23647",2,2,2,1,5,0,0
"23648",0,0,2,1,1,0,1
"23649",0,1,0,2,2,0,1
"23650",0,2,2,1,3,0,1
"23651",1,2,0,1,5,0,0
"23652",3,1,0,1,5,0,1
"23653",0,0,2,1,1,0,0
"23654",0,2,0,1,3,0,1
"23655",0,1,2,1,2,0,0
"23656",1,0,2,1,2,0,1
"23657",1,2,0,1,4,0,0
"23658",0,0,2,1,1,0,0
"23659",1,1,0,2,3,0,1
"23660",0,1,1,1,2,0,1
"23661",3,2,1,1,9,0,1
"23662",0,0,1,1,1,0,1
"23663",0,0,2,1,1,0,0
"23664",0,2,0,1,3,0,1
"23665",0,0,2,1,1,0,0
"23666",1,2,2,1,4,0,1
"23667",0,0,2,1,1,0,0
"23668",2,1,0,1,4,0,0
"23669",0,1,2,1,2,0,1
"23670",0,0,0,2,1,0,1
"23671",1,2,0,1,4,0,1
"23672",2,1,1,1,4,0,1
"23673",0,1,0,2,2,0,1
"23674",0,1,0,1,2,0,1
"23675",3,2,2,1,6,0,0
"23676",1,1,2,1,3,0,0
"23677",1,1,0,1,3,0,1
"23678",0,1,2,2,2,0,0
"23679",3,0,2,1,4,0,1
"23680",1,1,0,1,3,0,0
"23681",3,2,1,1,6,0,0
"23682",0,0,2,1,1,0,0
"23683",0,0,0,1,1,0,1
"23684",3,2,1,1,8,0,1
"23685",2,2,2,1,5,0,1
"23686",2,2,1,1,5,0,0
"23687",0,1,0,1,2,0,1
"23688",0,0,0,2,1,0,1
"23689",0,1,0,1,2,0,0
"23690",1,1,1,1,3,0,0
"23691",2,2,1,1,5,0,1
"23692",1,2,1,1,4,0,1
"23693",2,0,2,1,3,0,1
"23694",1,0,0,1,2,0,1
"23695",2,2,1,1,5,0,0
"23696",0,1,0,1,2,0,0
"23697",2,2,1,1,5,0,1
"23698",0,0,0,1,1,0,1
"23699",0,0,2,2,1,0,1
"23700",1,2,2,1,4,0,0
"23701",0,1,1,1,2,0,1
"23702",3,2,1,1,7,0,1
"23703",1,0,2,1,2,0,1
"23704",0,0,0,1,1,0,0
"23705",1,0,2,1,2,0,0
"23706",1,2,2,1,5,0,1
"23707",2,2,1,1,6,0,1
"23708",1,0,2,1,2,0,0
"23709",0,0,0,1,1,0,1
"23710",0,0,2,1,1,0,0
"23711",1,2,1,1,4,0,1
"23712",1,1,1,1,3,0,0
"23713",2,1,0,1,4,0,0
"23714",0,0,0,1,1,0,1
"23715",0,1,2,2,2,0,0
"23716",2,1,1,1,4,0,1
"23717",0,0,2,1,1,0,0
"23718",0,2,2,1,3,0,1
"23719",0,0,1,1,1,0,1
"23720",1,2,1,1,4,0,1
"23721",1,1,1,1,3,0,1
"23722",0,1,1,1,2,0,1
"23723",3,2,0,1,6,0,1
"23724",0,2,1,1,3,0,0
"23725",1,0,0,1,2,0,0
"23726",0,0,2,2,1,0,0
"23727",0,0,2,1,1,0,1
"23728",0,2,1,1,3,0,0
"23729",2,2,1,1,5,0,1
"23730",3,2,2,1,6,0,1
"23731",1,1,1,1,3,0,0
"23732",0,1,2,1,2,0,1
"23733",0,1,1,1,2,0,0
"23734",1,2,2,1,4,0,0
"23735",2,0,0,1,3,0,1
"23736",0,2,1,1,3,0,1
"23737",0,1,1,1,2,0,1
"23738",2,2,2,1,5,0,1
"23739",1,1,2,1,3,0,1
"23740",0,0,0,1,1,0,0
"23741",2,2,0,1,5,0,1
"23742",0,0,2,1,1,0,0
"23743",1,0,1,1,2,0,1
"23744",0,0,1,1,1,0,0
"23745",1,2,1,1,4,0,1
"23746",0,0,1,1,1,0,1
"23747",1,0,1,1,2,0,0
"23748",1,0,1,2,2,0,1
"23749",1,0,0,1,2,0,1
"23750",0,1,1,1,2,0,1
"23751",0,0,1,1,1,0,1
"23752",0,0,1,1,1,0,0
"23753",0,0,1,1,1,0,1
"23754",0,0,1,1,1,0,1
"23755",0,0,1,2,1,0,0
"23756",1,0,2,1,2,0,1
"23757",2,1,2,1,4,0,0
"23758",0,1,1,1,2,0,1
"23759",1,0,0,1,2,0,1
"23760",3,1,2,1,5,0,1
"23761",1,2,0,1,4,0,1
"23762",0,0,0,1,1,0,1
"23763",1,1,2,1,3,0,0
"23764",1,1,1,1,3,0,1
"23765",3,2,0,1,7,0,1
"23766",2,0,2,1,3,0,1
"23767",0,0,1,1,1,0,1
"23768",0,0,0,1,1,0,1
"23769",1,2,1,1,4,0,1
"23770",1,1,1,1,3,0,1
"23771",3,2,0,1,6,0,0
"23772",2,1,1,1,4,0,0
"23773",2,2,1,1,6,0,1
"23774",0,2,0,1,3,0,0
"23775",1,0,2,1,2,0,1
"23776",2,0,0,1,3,0,1
"23777",2,2,0,2,5,0,1
"23778",2,1,2,1,4,0,1
"23779",0,0,2,1,1,0,1
"23780",1,0,1,1,2,0,1
"23781",2,0,2,1,3,0,1
"23782",1,0,2,1,2,0,1
"23783",2,2,1,1,5,0,1
"23784",1,1,1,1,3,0,1
"23785",0,0,2,1,1,0,0
"23786",1,2,0,2,4,0,1
"23787",1,1,1,1,3,0,1
"23788",0,1,0,1,2,0,1
"23789",3,1,0,1,5,0,1
"23790",0,0,1,1,1,0,1
"23791",0,1,1,1,2,0,0
"23792",1,2,1,1,4,0,1
"23793",2,2,0,1,5,0,0
"23794",1,2,1,1,5,0,0
"23795",1,0,0,1,2,0,0
"23796",1,0,1,1,2,0,1
"23797",1,2,0,1,4,0,0
"23798",0,0,0,1,1,0,1
"23799",1,1,0,2,3,0,0
"23800",0,2,0,1,3,0,0
"23801",1,0,2,1,2,0,1
"23802",0,0,0,1,1,0,1
"23803",2,1,0,1,4,0,0
"23804",2,1,1,1,4,0,1
"23805",0,0,2,1,1,0,1
"23806",0,0,1,1,1,0,0
"23807",1,1,1,1,3,0,0
"23808",0,1,1,1,2,0,1
"23809",0,2,1,1,4,0,1
"23810",0,1,2,1,2,0,1
"23811",0,1,1,1,2,0,0
"23812",2,2,2,1,6,0,1
"23813",0,0,2,1,1,0,1
"23814",1,1,1,1,3,0,0
"23815",0,1,0,1,2,0,0
"23816",2,2,2,1,5,0,1
"23817",0,0,2,1,1,0,0
"23818",3,1,2,1,5,0,0
"23819",1,0,0,1,2,0,0
"23820",1,1,0,1,3,0,0
"23821",0,0,1,1,1,0,0
"23822",0,2,1,1,3,0,1
"23823",1,1,0,1,3,0,0
"23824",0,1,0,2,2,0,0
"23825",0,0,1,1,1,0,1
"23826",3,2,2,1,8,0,1
"23827",3,1,2,1,5,0,1
"23828",1,2,2,1,4,0,1
"23829",1,2,0,1,4,0,1
"23830",0,1,1,1,2,0,0
"23831",0,0,0,1,1,0,1
"23832",0,0,1,1,1,0,1
"23833",0,0,0,1,1,0,0
"23834",1,0,1,1,2,0,1
"23835",0,0,0,2,1,0,0
"23836",1,0,0,1,2,0,0
"23837",0,0,0,1,1,0,0
"23838",1,2,2,1,5,0,1
"23839",2,1,2,1,4,0,1
"23840",0,1,0,1,2,0,0
"23841",0,0,1,1,1,0,1
"23842",0,0,0,1,1,0,1
"23843",1,1,2,1,3,0,0
"23844",0,2,2,1,3,0,0
"23845",0,1,0,1,2,0,1
"23846",2,0,2,1,3,0,1
"23847",1,2,2,1,4,0,0
"23848",2,1,2,1,4,0,0
"23849",1,2,0,1,5,0,0
"23850",2,2,2,1,7,0,0
"23851",0,0,2,1,1,0,1
"23852",0,0,2,1,1,0,1
"23853",1,1,0,1,3,0,1
"23854",0,0,0,1,1,0,1
"23855",0,0,1,1,1,0,1
"23856",2,2,2,1,6,0,0
"23857",0,1,2,1,2,0,1
"23858",0,1,2,1,2,0,0
"23859",3,2,1,1,7,0,0
"23860",0,0,2,1,1,0,1
"23861",1,2,0,1,4,0,0
"23862",1,1,1,1,3,0,1
"23863",2,2,2,1,6,0,1
"23864",1,0,2,1,2,0,1
"23865",0,1,0,1,2,0,1
"23866",1,1,2,1,3,0,0
"23867",0,1,1,1,2,0,1
"23868",0,0,0,1,1,0,1
"23869",1,1,2,1,3,0,1
"23870",2,2,2,1,7,0,1
"23871",2,2,2,1,6,0,1
"23872",0,0,2,1,1,0,1
"23873",1,1,0,1,3,0,1
"23874",1,0,1,1,2,0,0
"23875",3,2,1,1,6,0,1
"23876",0,0,2,1,1,0,1
"23877",0,1,2,1,2,0,1
"23878",0,0,2,1,1,0,1
"23879",0,0,1,1,1,0,1
"23880",0,2,1,1,4,0,1
"23881",0,1,2,1,2,0,0
"23882",2,2,2,1,5,0,0
"23883",0,0,0,1,1,0,1
"23884",2,2,2,1,5,0,1
"23885",2,2,2,1,5,0,1
"23886",0,1,0,1,2,0,1
"23887",1,1,1,1,3,0,1
"23888",1,0,0,1,2,0,1
"23889",1,2,2,1,5,0,1
"23890",0,0,2,1,1,0,1
"23891",1,2,2,1,4,0,0
"23892",0,2,1,1,3,0,0
"23893",2,1,2,1,4,0,1
"23894",0,0,2,1,1,0,1
"23895",2,2,1,1,6,0,1
"23896",3,1,1,1,5,0,1
"23897",2,2,2,1,5,0,0
"23898",1,2,2,1,4,0,1
"23899",0,0,1,1,1,0,0
"23900",3,2,0,1,7,0,1
"23901",1,0,1,1,2,0,1
"23902",2,1,1,1,4,0,0
"23903",3,2,0,1,6,0,1
"23904",1,2,2,1,4,0,1
"23905",1,1,2,1,3,0,0
"23906",2,2,1,1,5,0,1
"23907",0,1,0,1,2,0,1
"23908",0,0,0,1,1,0,1
"23909",3,2,1,1,6,0,1
"23910",1,2,2,1,4,0,0
"23911",2,2,1,1,5,0,1
"23912",1,1,2,1,3,0,1
"23913",1,1,2,1,3,0,0
"23914",0,0,0,1,1,0,1
"23915",0,1,1,1,2,0,0
"23916",1,1,1,1,3,0,1
"23917",0,0,1,1,1,0,1
"23918",0,0,0,1,1,0,1
"23919",1,1,2,1,3,0,1
"23920",1,0,2,1,2,0,0
"23921",0,1,2,1,2,0,0
"23922",0,2,2,1,3,0,0
"23923",1,2,1,1,4,0,0
"23924",0,0,1,1,1,0,0
"23925",2,1,2,1,4,0,1
"23926",1,0,2,1,2,0,1
"23927",2,2,1,1,5,0,0
"23928",2,1,1,1,4,0,1
"23929",3,1,0,1,5,0,1
"23930",2,2,0,1,5,0,1
"23931",0,0,2,1,1,0,1
"23932",0,1,1,1,2,0,1
"23933",1,1,1,1,3,0,1
"23934",0,0,2,1,1,0,1
"23935",0,1,0,1,2,0,1
"23936",0,2,2,1,3,0,0
"23937",0,2,1,1,3,0,0
"23938",2,1,0,1,4,0,1
"23939",1,0,2,1,2,0,1
"23940",2,1,0,1,4,0,1
"23941",1,1,2,1,3,0,1
"23942",1,2,0,1,4,0,1
"23943",0,1,2,1,2,0,0
"23944",2,1,1,1,4,0,1
"23945",0,0,2,1,1,0,1
"23946",1,2,1,1,4,0,0
"23947",1,2,1,1,4,0,1
"23948",1,1,0,1,3,0,0
"23949",0,0,2,1,1,0,0
"23950",0,1,1,1,2,0,0
"23951",0,1,2,1,2,0,1
"23952",1,1,0,1,3,0,1
"23953",0,1,1,1,2,0,1
"23954",0,0,1,1,1,0,0
"23955",2,0,1,1,3,0,1
"23956",1,1,0,1,3,0,1
"23957",0,1,2,1,2,0,1
"23958",0,0,0,1,1,0,1
"23959",0,0,2,1,1,0,1
"23960",0,0,1,1,1,0,1
"23961",3,2,0,1,8,0,1
"23962",0,1,0,1,2,0,1
"23963",0,0,1,1,1,0,1
"23964",0,0,1,1,1,0,1
"23965",2,0,1,1,3,0,0
"23966",1,1,1,1,3,0,0
"23967",0,0,1,1,1,0,1
"23968",3,2,1,1,6,0,1
"23969",0,1,0,1,2,0,1
"23970",0,0,2,1,1,0,0
"23971",1,0,1,1,2,0,1
"23972",3,2,0,1,8,0,1
"23973",1,0,0,1,2,0,1
"23974",1,1,1,1,3,0,1
"23975",0,0,2,1,1,0,1
"23976",3,2,0,1,7,0,1
"23977",2,2,1,1,5,0,0
"23978",3,1,1,1,5,0,1
"23979",3,2,1,1,6,0,1
"23980",0,0,0,1,1,0,1
"23981",3,2,0,1,7,0,1
"23982",1,0,1,1,2,0,0
"23983",2,0,1,1,3,0,1
"23984",1,0,1,1,2,0,0
"23985",0,0,1,1,1,0,0
"23986",3,2,0,1,7,0,1
"23987",0,0,0,1,1,0,1
"23988",0,0,0,1,1,0,1
"23989",1,0,0,1,2,0,1
"23990",0,1,1,1,2,0,0
"23991",0,0,1,1,1,0,0
"23992",2,2,0,1,6,0,0
"23993",2,2,0,1,6,0,0
"23994",0,0,1,1,1,0,1
"23995",0,0,1,1,1,0,1
"23996",2,2,1,1,5,0,0
"23997",1,2,0,1,4,0,0
"23998",1,2,1,1,4,0,1
"23999",3,0,1,1,4,0,1
"24000",1,0,1,1,2,0,1
"24001",0,0,0,1,1,0,1
"24002",3,2,0,1,6,0,1
"24003",3,2,0,1,6,0,1
"24004",0,1,2,1,2,0,0
"24005",2,2,0,1,6,0,1
"24006",1,2,0,1,5,0,0
"24007",1,1,0,1,3,0,0
"24008",3,1,0,1,5,0,1
"24009",1,2,0,1,5,0,1
"24010",2,2,0,1,5,0,1
"24011",3,1,0,1,5,0,1
"24012",2,0,1,1,3,0,1
"24013",2,2,0,1,5,0,1
"24014",0,0,1,1,1,0,1
"24015",2,2,0,1,5,0,1
"24016",0,0,2,1,1,0,0
"24017",2,2,0,1,5,0,0
"24018",0,2,1,1,3,0,0
"24019",2,2,0,1,5,0,1
"24020",1,2,1,1,4,0,1
"24021",2,1,0,1,4,0,1
"24022",1,1,1,1,3,0,0
"24023",2,1,0,1,4,0,1
"24024",0,1,1,1,2,0,0
"24025",1,2,0,1,4,0,0
"24026",1,0,1,1,2,0,1
"24027",1,2,0,1,4,0,1
"24028",1,2,0,1,4,0,1
"24029",1,2,0,1,4,0,1
"24030",0,1,0,1,2,0,0
"24031",1,2,0,1,4,0,1
"24032",2,1,0,1,4,0,0
"24033",1,2,0,1,4,0,1
"24034",1,2,0,1,4,0,0
"24035",0,1,1,1,2,0,0
"24036",0,2,0,1,3,0,0
"24037",0,0,0,1,1,0,1
"24038",1,1,0,1,3,0,0
"24039",1,1,0,1,3,0,1
"24040",1,1,0,1,3,0,1
"24041",0,1,1,1,2,0,1
"24042",0,0,1,1,1,0,0
"24043",1,1,0,1,3,0,1
"24044",0,0,1,1,1,0,1
"24045",1,1,0,1,3,0,1
"24046",1,1,0,1,3,0,1
"24047",1,1,0,1,3,0,0
"24048",0,0,1,1,1,0,1
"24049",0,2,0,1,3,0,1
"24050",1,1,0,1,3,0,0
"24051",0,1,0,1,2,0,1
"24052",0,1,0,1,2,0,1
"24053",1,0,0,1,2,0,1
"24054",0,1,0,1,2,0,1
"24055",1,0,0,1,2,0,1
"24056",0,0,1,1,1,0,1
"24057",1,0,0,1,2,0,1
"24058",0,1,0,1,2,0,1
"24059",1,0,0,1,2,0,1
"24060",1,0,0,1,2,0,0
"24061",0,1,0,1,2,0,0
"24062",0,1,0,1,2,0,1
"24063",0,1,0,1,2,0,1
"24064",0,1,0,1,2,0,1
"24065",1,0,0,1,2,0,1
"24066",0,0,0,1,1,0,1
"24067",0,0,0,1,1,0,1
"24068",0,0,0,1,1,0,1
"24069",0,0,0,1,1,0,1
"24070",0,0,0,1,1,0,1
"24071",0,0,0,1,1,0,1
"24072",0,0,0,1,1,0,1
"24073",0,0,0,1,1,0,1
"24074",0,0,0,1,1,0,0
"24075",0,0,0,1,1,0,1
"24076",0,0,0,1,1,0,1
