"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"187",0,2,2,8,3,3,0
"188",0,1,2,8,2,3,0
"189",1,1,1,8,3,0,1
"190",0,1,2,7,2,3,1
"191",0,0,2,7,1,3,1
"192",0,0,2,8,1,3,0
"193",0,1,1,8,2,0,1
"194",0,0,1,8,1,0,1
"195",2,2,0,8,5,3,0
"196",0,2,2,7,3,1,1
"197",0,0,0,8,1,0,0
"198",2,1,0,8,4,3,1
"199",0,1,2,7,2,1,1
"200",1,1,0,8,3,3,1
"201",0,0,2,7,1,1,1
"202",1,2,2,8,4,1,1
"203",2,2,1,7,5,1,1
"204",0,1,0,8,2,3,1
"205",1,1,2,8,3,1,0
"206",2,1,1,7,4,1,1
"207",1,0,2,8,2,1,1
"208",0,0,0,8,1,3,1
"209",2,2,0,8,5,3,1
"210",0,0,2,8,1,1,1
"211",1,1,1,7,3,1,1
"212",0,0,2,8,1,0,0
"213",1,2,0,8,4,3,0
"214",1,0,1,7,2,1,1
"215",1,2,1,8,4,0,1
"216",0,2,0,8,3,3,1
"217",0,0,1,7,1,1,1
"218",1,1,1,8,3,0,0
"219",3,2,0,7,7,1,1
"220",0,1,0,8,2,3,0
"221",0,0,0,8,1,3,0
"222",0,1,1,8,2,0,1
"223",2,2,0,7,6,1,1
"224",1,0,0,8,2,1,1
"225",0,0,1,8,1,0,1
"226",2,2,0,7,5,1,1
"227",0,0,0,8,1,1,1
"228",0,2,0,8,3,0,1
"229",1,2,0,7,4,1,1
"230",0,1,0,8,2,0,0
"231",1,1,0,7,3,1,1
"232",1,0,0,8,2,0,1
"233",0,0,0,8,1,0,0
"234",0,0,0,8,1,0,0
"235",1,0,0,7,2,1,1
"236",0,2,2,7,4,3,1
"237",0,0,0,7,1,1,1
"238",2,2,2,8,5,3,1
"239",3,2,0,7,6,0,1
"240",2,1,2,8,4,3,0
"241",0,2,2,7,3,3,0
"242",0,1,2,7,2,3,0
"243",2,0,2,8,3,3,0
"244",2,2,0,7,5,0,1
"245",0,0,2,7,1,3,0
"246",1,0,2,8,2,3,1
"247",1,2,0,7,4,0,1
"248",1,2,2,7,5,1,0
"249",0,0,2,8,1,3,0
"250",1,1,0,7,3,0,1
"251",0,2,2,7,4,1,1
"252",0,1,1,8,2,3,0
"253",1,0,0,7,2,0,0
"254",0,0,0,7,1,0,1
"255",0,2,2,7,3,1,1
"256",0,0,1,8,1,3,0
"257",2,1,2,7,4,1,1
"258",0,1,2,7,2,1,1
"259",0,1,1,8,2,1,0
"260",0,0,1,8,1,1,1
"261",2,0,2,7,3,1,0
"262",0,0,2,7,1,1,1
"263",0,2,1,7,3,1,0
"264",1,0,2,7,2,1,0
"265",3,0,1,8,4,0,1
"266",0,1,1,7,2,1,1
"267",2,0,1,8,3,0,0
"268",0,0,2,7,1,1,1
"269",0,0,1,7,1,1,0
"270",1,0,1,8,2,0,1
"271",0,1,2,7,2,0,1
"272",0,0,2,7,1,0,1
"273",0,0,1,8,1,0,0
"274",2,1,1,7,4,0,0
"275",1,1,1,7,3,0,1
"276",1,1,1,7,3,0,1
"277",2,2,0,8,5,0,0
"278",1,0,1,7,2,0,1
"279",1,2,0,8,4,0,0
"280",1,0,1,7,2,0,0
"281",0,0,1,7,1,0,0
"282",0,2,0,8,3,0,0
"283",0,0,1,7,1,0,0
"284",0,1,0,8,2,0,0
"285",2,2,0,7,5,0,0
"286",1,2,0,7,4,0,0
"287",1,1,0,7,3,0,1
"288",0,0,0,8,1,0,0
"289",2,1,0,7,4,0,1
"290",0,0,2,7,1,3,1
"291",2,0,0,7,3,0,1
"292",1,0,0,7,2,0,0
"293",0,0,2,7,1,1,1
"294",0,0,0,7,1,0,0
"295",1,0,0,7,2,0,1
"296",0,0,0,7,1,0,1
"297",2,2,2,7,6,6,0
"298",0,1,1,7,2,1,1
"299",0,0,1,7,1,1,1
"300",1,2,2,7,5,6,0
"301",3,2,1,6,8,6,1
"302",3,2,1,6,7,6,1
"303",1,2,2,7,4,6,0
"304",2,1,1,7,4,0,0
"305",2,2,1,6,6,6,1
"306",1,1,2,7,3,6,0
"307",1,1,1,7,3,0,1
"308",0,1,1,7,2,0,0
"309",1,0,2,7,2,6,1
"310",1,2,1,6,5,6,0
"311",1,2,1,6,4,6,1
"312",0,0,1,7,1,0,1
"313",0,0,2,7,1,6,0
"314",1,1,2,7,3,3,0
"315",1,1,1,6,3,6,1
"316",0,2,0,7,3,0,0
"317",1,0,2,7,2,3,1
"318",0,1,0,7,2,0,1
"319",1,0,1,6,2,6,0
"320",0,0,1,6,1,6,1
"321",0,0,2,7,1,3,0
"322",0,0,0,7,1,0,1
"323",3,2,1,7,6,3,0
"324",2,1,2,7,4,0,1
"325",3,2,1,6,7,5,1
"326",3,1,1,7,5,3,0
"327",1,1,2,7,3,0,0
"328",2,2,1,6,6,4,1
"329",1,0,1,7,2,1,0
"330",1,2,1,6,5,4,0
